,identifier,author_all,title,year,journal,nSyllabi,nCites,category
569,lijphart1997unequal,"Lijphart, Arend","Unequal participation: Democracy's unresolved dilemma presidential address, American Political Science Association, 1996",1997,American political science review,1,1890,
570,likert1932technique,"Likert, Rensis",A technique for the measurement of attitudes.,1932,Archives of psychology,1,14037,
571,lipsey2001practical,"Lipsey, M. W.; Wilson, D. B.","Practical Meta-analysis. Thousand Oaks, CA: Sage Publications.",2001,,1,2,
572,liu2009learning,"Liu, Tie-Yan; others",Learning to rank for information retrieval,2009,Foundations and Trends in Information Retrieval,1,1220,
573,liu2012survey,"Liu, Bing; Zhang, Lei","A Survey of Opinion Mining and Sentiment Analysis. Mining Text Data. Charu C. Aggarwal and Cheng Xiang Zhai, ed",2012,,1,622,
574,lo2016ideological,"Lo, James; Proksch, Sven-Oliver; Slapin, Jonathan B.",Ideological clarity in multiparty competition: A new measure and test using election manifestos,2016,British Journal of Political Science,1,27,
575,londregan1999estimating,"Londregan, John",Estimating legislators' preferred points,1999,Political Analysis,1,191,
576,lord2008statistical,"Lord, Frederic M.; Novick, Melvin R.",Statistical theories of mental test scores,2008,,1,8603,
577,lord2012applications,"Lord, Frederic M.",Applications of item response theory to practical testing problems,2012,,1,6178,
578,loughran2011liability,"Loughran, Tim; McDonald, Bill","When is a liability not a liability? Textual analysis, dictionaries, and 10-Ks",2011,The Journal of Finance,7,1299,3
579,lowe2002software,"Lowe, Will",Software for content analysis A Review,2002,Cambridge: Weatherhead Center for International Affairs and the Harvard Identity Project,2,51,
580,lowe2008understanding,"Lowe, Will",Understanding wordscores,2008,Political Analysis,14,197,4
581,lowe2011scaling,"Lowe, Will; Benoit, Kenneth; Mikhaylov, Slava; Laver, Michael",Scaling policy preferences from coded political texts,2011,Legislative studies quarterly,7,355,4
582,lowe2013validating,"Lowe, Will; Benoit, Kenneth",Validating estimates of latent traits from textual data using human judgment as a benchmark,2013,Political Analysis,6,58,6
583,lucas2015computer,"Lucas, Christopher; Nielsen, Richard A.; Roberts, Margaret E.; Stewart, Brandon M.; Storer, Alex; Tingley, Dustin",Computer-assisted text analysis for comparative politics,2015,Political Analysis,9,122,2
584,luechinger2007bureaucratic,"Luechinger, Simon; Meier, Stephan; Stutzer, Alois",Bureaucratic rents and life satisfaction,2007,"The Journal of Law, Economics, \& Organization",1,41,
585,lupu2013informative,"Lupu, Yonatan",The informative power of treaty commitment: using the spatial model to address selection effects,2013,American Journal of Political Science,1,97,
586,lupu2016states,"Lupu, Yonatan",Why do states join some universal treaties but not others? An analysis of treaty commitment preferences,2016,Journal of Conflict Resolution,1,11,
587,lustick1996history,"Lustick, Ian S.","History, historiography, and political science: Multiple historical records and the problem of selection bias",1996,American Political Science Review,1,393,
588,lutz2009learning,"Lutz, Mark",Learning python 4th edition (covers python 2.6 and 3. x),2009,,2,656,
589,lutz2010programming,"Lutz, Mark",Programming Python: Powerful Object-Oriented Programming,2010,,2,314,
590,lyall2009does,"Lyall, Jason",Does indiscriminate violence incite insurgent attacks? Evidence from Chechnya,2009,Journal of Conflict Resolution,1,420,
591,maas2011learning,"Maas, Andrew L.; Daly, Raymond E.; Pham, Peter T.; Huang, Dan; Ng, Andrew Y.; Potts, Christopher",Learning word vectors for sentiment analysis,2011,,1,871,
592,macy2002factors,"Macy, Michael W.; Willer, Robert",From factors to factors: computational sociology and agent-based modeling,2002,Annual review of sociology,1,1385,
593,mann1988rhetorical,"Mann, William C.; Thompson, Sandra A.",Rhetorical structure theory: Toward a functional theory of text organization,1988,Text-Interdisciplinary Journal for the Study of Discourse,1,4024,
594,manning1999foundations,"Manning, Christopher D.; Schutze, Hinrich",Foundations of statistical natural language processing,1999,,5,11918,2
595,manning2008introduction,"Manning, Christopher D.; Raghavan, Prabhakar; Schutze, Hinrich; others",Introduction to information retrieval,2008,,6,88,2
596,manning2008text,"Manning, Christopher D.; Raghavan, Prabhakar; Schutze, Hinrich",Text classification and naive bayes,2008,Introduction to information retrieval,2,307,1
597,manning2014stanford,"Manning, Christopher; Surdeanu, Mihai; Bauer, John; Finkel, Jenny; Bethard, Steven; McClosky, David",The Stanford CoreNLP natural language processing toolkit,2014,,1,2181,
598,mansfield2007electing,"Mansfield, Edward D.; Snyder, Jack",Electing to fight: Why emerging democracies go to war,2007,,1,937,
599,markle2017improving,"Markle-Huss, Joscha; Feuerriegel, Stefan; Prendinger, Helmut",Improving sentiment analysis with document-level semantic relationships from rhetoric discourse structures,2017,,1,2,
600,markoff2010video,"Markoff, John","In a video game, tackling the complexities of protein folding",2010,The New York Times,1,16,
601,markoff2012troves,"Markoff, John","Troves of personal data, forbidden to researchers",2012,New York Times,1,13,
602,martin1994readings,"Martin, Michael; McIntyre, Lee C.",Readings in the philosophy of social science,1994,,1,225,
603,martin2002dynamic,"Martin, Andrew D.; Quinn, Kevin M.","Dynamic ideal point estimation via Markov chain Monte Carlo for the US Supreme Court, 1953--1999",2002,Political Analysis,2,1067,
604,martin2007robust,"Martin, Lanny W.; Vanberg, Georg",A robust transformation procedure for interpreting political text,2007,Political Analysis,3,128,4
605,martin2009speech,"Martin, James H.; Jurafsky, Daniel","Speech and language processing: An introduction to natural language processing, computational linguistics, and speech recognition",2009,,2,38,
606,martin2014oxford,"Martin, Shane; Saalfeld, Thomas; Strom, Kaare",The Oxford handbook of legislative studies,2014,,1,59,
607,martin2016improvisational,"Martin, Lara J.; Harrison, Brent; Riedl, Mark O.",Improvisational computational storytelling in open worlds,2016,,1,5,
608,mas2009peers,"Mas, Alexandre; Moretti, Enrico",Peers at work,2009,American Economic Review,1,993,
609,mason2012conducting,"Mason, Winter; Suri, Siddharth",Conducting behavioral research on Amazon's Mechanical Turk,2012,Behavior research methods,1,2104,
610,matloff2011art,"Matloff, Norman",The art of R programming: A tour of statistical software design,2011,,2,166,
611,may1973lessons,"May, Ernest R.", Lessons of the past: the use and misuse of history in American foreign policy,1973,,1,790,
612,mayo2013error,"Mayo, Deborah G.",The error-statistical philosophy and the practice of Bayesian statistics: Comments on Gelman and Shalizi: Philosophy and the practice of Bayesian statistics,2013,British Journal of Mathematical and Statistical Psychology,1,5,
613,mcauliffe2008supervised,"Mcauliffe, Jon D.; Blei, David M.",Supervised topic models,2008,,3,1303,7
614,mcclelland1976world,"McClelland, Charles A.",World event/interaction survey codebook,1976,,1,101,
615,mcconville2007research,"McConville, Mike",Research methods for law,2007,,1,151,
616,mccullagh1989outline,"McCullagh, P. N. J. A.",An outline of generalized linear models,1989,Generalized linear models,1,33601,
617,mcdermott2011internal,"McDermott, Rose",Internal and external validity,2011,Cambridge handbook of experimental political science,1,103,
618,mckinney2012python,"McKinney, Wes","Python for data analysis: Data wrangling with Pandas, NumPy, and IPython",2012,,1,297,
619,mclachlan2004finite,"McLachlan, Geoffrey; Peel, David",Finite mixture models,2004,,2,9854,
620,mclachlan2007algorithm,"McLachlan, Geoffrey; Krishnan, Thriyambakam",The EM algorithm and extensions,2007,,2,7166,
621,mclevey2017introducing,"McLevey, John; McIlroy-Young, Reid","Introducing metaknowledge: Software for computational research in information science, network analysis, and science of science",2017,Journal of Informetrics,1,4,
622,mcpherson2001birds,"McPherson, Miller; Smith-Lovin, Lynn; Cook, James M.",Birds of a feather: Homophily in social networks,2001,Annual review of sociology,1,11643,
623,medhat2014sentiment,"Medhat, Walaa; Hassan, Ahmed; Korashy, Hoda",Sentiment analysis algorithms and applications: A survey,2014,Ain Shams Engineering Journal,1,579,
624,menini2017topic,"Menini, Stefano; Nanni, Federico; Ponzetto, Simone Paolo; Tonelli, Sara",Topic-based agreement and disagreement in US electoral manifestos,2017,,2,1,
625,merz2016manifesto,"Merz, Nicolas; Regel, Sven; Lewandowski, Jirka",The Manifesto Corpus: A new resource for research on political parties and quantitative text analysis,2016,Research \& Politics,1,21,
626,messing2015bias,"Messing, Solomon; Jabon, Maria; Plaut, Ethan",Bias in the flesh: Skin complexion and stereotype consistency in political campaigns,2015,Public opinion quarterly,1,9,
627,metaxas2011not,"Metaxas, Panagiotis T.; Mustafaraj, Eni; Gayo-Avello, Dani",How (not) to predict elections,2011,,1,230,
628,meyer2008text,"Meyer, David; Hornik, Kurt; Feinerer, Ingo",Text mining infrastructure in R,2008,Journal of statistical software,4,710,10
629,meyer2014misjudgements,"Meyer, Michelle N.",Misjudgements will drive social trials underground,2014,Nature News,1,18,
630,michel2011google,"Michel, Jean-Baptiste; Shen, Yuan Kui; Aiden, Aviva Presser; Veres, Adrian; Gray, Matthew K.; Brockman, William","The Google Books Team, Joseph P",2011,"Pickett, Dale Hoiberg, Dan Clancy, Peter Norvig, Jon Orwant, Steven Pinker, Martin A. Nowak, and Erez Lieberman Aiden",1,594,
631,michel2011quantitative,"Michel, Jean-Baptiste; Shen, Yuan Kui; Aiden, Aviva Presser; Veres, Adrian; Gray, Matthew K.; Pickett, Joseph P.; Hoiberg, Dale; Clancy, Dan; Norvig, Peter; Orwant, Jon; others",Quantitative analysis of culture using millions of digitized books,2011,science,2,1384,
632,mikhaylov2012coder,"Mikhaylov, Slava; Laver, Michael; Benoit, Kenneth R.",Coder reliability and misclassification in the human coding of party manifestos,2012,Political Analysis,5,64,4
633,mikolov2013distributed,"Mikolov, Tomas; Sutskever, Ilya; Chen, Kai; Corrado, Greg S.; Dean, Jeff",Distributed representations of words and phrases and their compositionality,2013,,3,7046,9
634,mikolov2013efficient,"Mikolov, Tomas; Chen, Kai; Corrado, Greg; Dean, Jeffrey",Efficient estimation of word representations in vector space,2013,arXiv preprint arXiv:1301.3781,4,5875,9
635,miles1994qualitative,"Miles, Matthew B.; Huberman, A.  Michael",Qualitative data analysis: An expanded sourcebook,1994,,1,77480,
636,miller1990introduction,"Miller, George A.; Beckwith, Richard; Fellbaum, Christiane; Gross, Derek; Miller, Katherine J.",Introduction to WordNet: An on-line lexical database,1990,International journal of lexicography,1,5865,
637,miller1995wordnet,"Miller, George A.",WordNet: a lexical database for English,1995,Communications of the ACM,1,10324,
638,miller2012smartphone,"Miller, Geoffrey",The smartphone psychology manifesto,2012,Perspectives on psychological science,1,361,
639,minhas2016inferential,"Minhas, Shahryar; Hoff, Peter D.; Ward, Michael D.",Inferential Approaches for Network Analyses: AMEN for Latent Factor Models,2016,arXiv preprint arXiv:1611.00460,1,6,
640,mislevy1988randomization,"Mislevy, Robert J.",Randomization-based inferences about latent variables from complex samples,1988,ETS Research Report Series,1,414,
641,mitchell2015web,"Mitchell, Ryan",Web scraping with Python: collecting data from the modern web,2015,,2,38,
642,mkecfal2012klaus,"Mecfal, Sylwia","Klaus Krippendorff, Content Analysis. An Introduction to Its Methodology Thousand Oaks, CA: Sage Publications, 2004-RECENZJA",2012,Przeglad Socjologiczny,2,0,
643,mohr2013introduction,"Mohr, John W.; Bogdanov, Petko",Introduction - Topic models: What they are and why they matter,2013,,4,121,7
644,monroe2008fightin,"Monroe, Burt L.; Colaresi, Michael P.; Quinn, Kevin M.",Fightin'words: Lexical feature selection and evaluation for identifying the content of political conflict,2008,Political Analysis,10,244,4
645,monroe2008introduction,"Monroe, Burt L.; Schrodt, Philip A.",Introduction to the special issue: The statistical analysis of political text,2008,Political Analysis,6,85,1
646,monroe2015no,"Monroe, Burt L.; Pan, Jennifer; Roberts, Margaret E.; Sen, Maya; Sinclair, Betsy","No! Formal theory, causal inference, and big data are not contradictory trends in political science",2015,PS: Political Science \& Politics,3,33,1
647,montgomery2016human,"Montgomery, Jacob M.; Carlson, David",Human computation scaling for measuring meaningful latent traits in political texts,2016,,1,0,
648,montgomery2017effects,"Montgomery, Jacob M.; Nyhan, Brendan",The Effects of Congressional Staff Networks in the US House of Representatives,2017,The Journal of Politics,1,6,
649,morey2013humble,"Morey, Richard D.; Romeijn, Jan-Willem; Rouder, Jeffrey N.",The humble Bayesian: Model checking from a fully Bayesian perspective,2013,British Journal of Mathematical and Statistical Psychology,1,32,
650,morlino1995italy,"Morlino, Leonardo",Italy's civic divide,1995,Journal of Democracy,1,37,
651,morrot2001color,"Morrot, Gil; Brochet, Frederic; Dubourdieu, Denis",The color of odors,2001,Brain and language,1,527,
652,morton2010experimental,"Morton, Rebecca B.; Williams, Kenneth C.",Experimental political science and the study of causality: From nature to the lab,2010,,1,431,
653,mostafazadeh2016caters,"Mostafazadeh, Nasrin; Grealish, Alyson; Chambers, Nathanael; Allen, James; Vanderwende, Lucy",CaTeRS: Causal and temporal relation scheme for semantic annotation of event structures,2016,,1,8,
654,mosteller1963inference,"Mosteller, Frederick; Wallace, David L.",Inference in an authorship problem,1963,Journal of the American Statistical Association,6,425,3
655,mosteller1964inference,"Mosteller, Frederick; Wallace, David",Inference and disputed authorship: The Federalist,1964,,1,1048,
656,motyl1999empires,"Motyl, Alexander J.",Why empires reemerge: imperial collapse and imperial revival in comparative perspective,1999,Comparative politics,1,46,
657,mullainathan2017machine,"Mullainathan, Sendhil; Spiess, Jann",Machine learning: an applied econometric approach,2017,Journal of Economic Perspectives,1,56,
658,muller2016crash,"Muller, Richard P.",Crash Course in Python for Scientists.,2016,,1,0,
659,mullinix2015generalizability,"Mullinix, Kevin J.; Leeper, Thomas J.; Druckman, James N.; Freese, Jeremy",The generalizability of survey experiments,2015,Journal of Experimental Political Science,1,152,
660,munger2016learning,"Munger, Kevin; Egan, Patrick; Nagler, Jonathan; Ronen, Jonathan; Tucker, Joshua A.",Learning (and Unlearning) from the Media and Political Parties: Evidence from the 2015 UK Election,2016,,1,2,
661,munoz2012application,"Munoz-Leiva, Francisco; Viedma-del-Jesus, Maria Isabel; Sanchez-Fernandez, Juan; Lopez-Herrera, Antonio Gabriel",An application of co-word analysis and bibliometric maps for detecting the most highlighting themes in the consumer behaviour research from a longitudinal perspective,2012,Quality \& Quantity,1,53,
662,munzert2014automated,"Munzert, Simon; Rubba, Christian; Meissner, Peter; Nyhuis, Dominic",Automated data collection with R: A practical guide to web scraping and text mining,2014,,4,67,2
663,murphy2012machine,"Murphy, Kevin P.",Machine Learning: A Probabilistic Perspective. Adaptive Computation and Machine Learning,2012,,1,3325,
664,murphy2012probabilistic,"Murphy, Kevin P.",A Probabilistic Perspective,2012,,1,18,
665,murthy2015twitter,"Murthy, Dhiraj","Twitter and elections: are tweets, predictive, reactive, or a form of buzz?",2015,"Information, Communication \& Society",1,30,
666,nadeau2007survey,"Nadeau, David; Sekine, Satoshi",A survey of named entity recognition and classification,2007,Lingvisticae Investigationes,1,1548,
667,nagler1995coding,"Nagler, Jonathan",Coding style and good computing practices,1995,PS: Political Science \& Politics,1,20,
668,nagler2015drawing,"Nagler, Jonathan; Tucker, Joshua A.",Drawing inferences and testing theories with big data,2015,PS: Political Science \& Politics,2,25,
669,naik2017computer,"Naik, Nikhil; Kominers, Scott Duke; Raskar, Ramesh; Glaeser, Edward L.; Hidalgo, Cesar A.",Computer vision uncovers predictors of physical urban change,2017,Proceedings of the National Academy of Sciences,1,8,
670,nakpil2018woman,"Nakpil, Carmen Guerrero; Ohno, Shun; Pabuayan, Isabelita M.; Palanca, Clinton; Pertierra, Raul; Pimentel, Benjamin; Poffenberger, Mark; Soriaga, Rowena; Walpole, Peter; Pomeroy, William J.; others",Woman Enough: And Other Essays,2018,Pacific Science,1,20,
671,namenwirth1969marks,"Namenwirth, J.  Zvi",Marks of distinction: An analysis of British mass and prestige newspaper editorials,1969,American Journal of Sociology,1,29,
672,narayanan2008robust,"Narayanan, Arvind; Shmatikov, Vitaly",Robust de-anonymization of large sparse datasets,2008,,1,1419,
673,nelson2015political,"Nelson, Laura K.","Political logics as cultural memory: cognitive structures, local continuities, and women's organizations in Chicago and New York City",2015,"Work. Pap. Kellogg School Manag., Northwestern Univ. Article Locations: Article Location Article Location",2,2,
674,nelson2017computational,"Nelson, Laura K.",Computational Grounded Theory: A Methodological Framework,2017,Sociological Methods \& Research,1,0,
675,nenkova2012survey,"Nenkova, Ani; McKeown, Kathleen",A survey of text summarization techniques,2012,,1,249,
676,neuendorf2016content,"Neuendorf, Kimberly A.",The content analysis guidebook,2016,,7,8706,2
677,neuman2014basics,"Neuman, William Lawrence; Robson, Karen",Basics of social research,2014,,1,1824,
678,neustadt1986may,"Neustadt, Richard E.; Ernest, R.","May, Thinking in Time: The Uses ofHistoryfor Decision-Makers",1986,,1,32,
679,newman2008gender,"Newman, Matthew L.; Groom, Carla J.; Handelman, Lori D.; Pennebaker, James W.","Gender differences in language use: An analysis of 14,000 text samples",2008,Discourse Processes,1,437,
680,newman2010networks,"Newman, Mark",Networks: an introduction,2010,,1,7998,
681,ng2006examining,"Ng, Vincent; Dasgupta, Sajib; Arifin, S. M.",Examining the role of linguistic knowledge sources in the automatic identification and classification of reviews,2006,,1,251,
682,nielson2014networks,"NIELSON, R. I. C. H. A. R. D.","Networks, Careers, and the Jihadi Radicalization of Muslim Clerics",2014,,1,3,
683,nowlin2016modeling,"Nowlin, Matthew C.",Modeling Issue Definitions Using Quantitative Text Analysis,2016,Policy Studies Journal,1,6,
684,nulty2016social,"Nulty, Paul; Theocharis, Yannis; Popa, Sebastian Adrian; Parnet, Olivier; Benoit, Kenneth",Social media and political communication in the 2014 elections to the European Parliament,2016,Electoral studies,1,28,
685,o2002anticipating,"O'BRIEN, S. E. A. N.  P.","Anticipating the good, the bad, and the ugly: An early warning approach to conflict and instability analysis",2002,Journal of Conflict Resolution,1,90,
686,o2003anti,"O'Connell, Michael",Anti social capital. Civic values versus economic equality in the EU,2003,European Sociological Review,1,51,
687,o2010crisis,"O'brien, Sean P.",Crisis early warning and decision support: Contemporary approaches and thoughts on future research,2010,International studies review,1,193,
688,o2010tweets,"O'Connor, Brendan; Balasubramanyan, Ramnath; Routledge, Bryan R.; Smith, Noah A.; others",From tweets to polls: Linking text sentiment to public opinion time series.,2010,Icwsm,4,1586,5
689,o2011computational,"O'Connor, Brendan; Bamman, David; Smith, Noah A.",Computational text analysis for social science: Model assumptions and complexity,2011,,3,26,1
690,o2013learning,"O'Connor, Brendan; Stewart, Brandon M.; Smith, Noah A.",Learning to extract international relations from political context,2013,,3,45,7
691,o2016computational,"O'Reilly, Cliff",Computational Linguistic Models of Mental Spaces,2016,,1,0,
692,obinger2013policy,"Obinger, Herbert; Schmitt, Carina; Starke, Peter",Policy diffusion and policy transfer in comparative welfare state research,2013,Social Policy \& Administration,1,56,
693,ohm2010broken,"Ohm, P.",Broken promises of privacy: responding to the surprising failure of anonymization. 57 UCLA Law Review 1701 (2010) 1701-1711,2010,,1,1039,
694,olmedilla2016harvesting,"Olmedilla, M.; Martinez-Torres, M.  Rocio; Toral, S. L.",Harvesting Big Data in social science: A methodological approach for collecting online user-generated content,2016,Computer Standards \& Interfaces,1,8,
695,onnela2007structure,"Onnela, J.-P.; Saramaki, Jari; Hyvonen, Jorkki; Szabo, Gyorgy; Lazer, David; Kaski, Kimmo; Kertesz, Janos; Barabasi, A.-L.",Structure and tie strengths in mobile communication networks,2007,Proceedings of the national academy of sciences,2,1560,
696,ormerod2010explaining,"Ormerod, John T.; Wand, Matt P.",Explaining variational approximations,2010,The American Statistician,1,208,
697,ouyang2014towards,"Ouyang, Jessica; McKeown, Kathy",Towards Automatic Detection of Narrative Structure.,2014,,1,5,
698,page1999pagerank,"Page, Lawrence; Brin, Sergey; Motwani, Rajeev; Winograd, Terry",The PageRank citation ranking: Bringing order to the web.,1999,,1,10729,
699,pager2003mark,"Pager, Devah",The mark of a criminal record,2003,American journal of sociology,1,2071,
700,pak2010twitter,"Pak, Alexander; Paroubek, Patrick",Twitter as a corpus for sentiment analysis and opinion mining.,2010,,1,2125,
701,palfrey1987relationship,"Palfrey, Thomas R.; Poole, Keith T.","The relationship between information, ideology, and voting behavior",1987,American journal of political science,1,387,
702,palmer2013new,"Palmer, John R. B.; Espenshade, Thomas J.; Bartumeus, Frederic; Chung, Chang Y.; Ozgencil, Necati Ercan; Li, Kathleen",New approaches to human mobility: Using mobile phones for demographic research,2013,Demography,1,72,
703,pandya2016french,"Pandya, Sonal S.; Venkatesan, Rajkumar",French roast: consumer response to international conflict evidence from supermarket scanner data,2016,Review of Economics and Statistics,1,21,
704,pang2002thumbs,"Pang, Bo; Lee, Lillian; Vaithyanathan, Shivakumar",Thumbs up?: sentiment classification using machine learning techniques,2002,,1,7152,
705,pang2008opinion,"Pang, Bo; Lee, Lillian; others",Opinion mining and sentiment analysis,2008,Foundations and Trends in Information Retrieval,1,7057,
706,pardos2016political,"Pardos-Prado, Sergi; Sagarzazu, Inaki",The Political Conditioning of Subjective Economic Evaluations: The Role of Party Discourse,2016,British Journal of Political Science,1,11,
707,park2012unified,"Park, Jong Hee",A Unified Method for Dynamic and Cross-Sectional Heterogeneity: Introducing Hidden Markov Panel Models,2012,American Journal of Political Science,2,28,
708,parkdetecting,"Park, Jong Hee; Sohn, Yunkyu",DETECTING STRUCTURAL CHANGES IN LONGITUDINAL NETWORK DATA,2014,,1,0,
709,parsons2007map,"Parsons, Craig",How to map arguments in political science,2007,,1,307,
710,parsons2014migrant,"Parsons, Christopher Robert; Vezina, Pierre-Louis",Migrant networks and trade: The Vietnamese boat people as a natural experiment,2014,,1,34,
711,patterson2013predicting,"Patterson, Gary; Kehler, Andrew",Predicting the presence of discourse connectives,2013,,1,21,
712,paul2011you,"Paul, Michael J.; Dredze, Mark",You are what you Tweet: Analyzing Twitter for public health.,2011,Icwsm,1,697,
713,pearl2000causation,"Pearl, Judea",Causation,2000,,1,1842,
714,pecheux1995automatic,"Pecheux, Michel",Automatic discourse analysis,1995,,1,71,
715,peldszus2013argument,"Peldszus, Andreas; Stede, Manfred",From argument diagrams to argumentation mining in texts: A survey,2013,International Journal of Cognitive Informatics and Natural Intelligence (IJCINI),1,111,
716,pemstein2010democratic,"Pemstein, Daniel; Meserve, Stephen A.; Melton, James",Democratic compromise: A latent variable analysis of ten measures of regime type,2010,Political Analysis,1,409,
717,peng2002quantitative,"Peng, Roger D.; Hengartner, Nicolas W.",Quantitative analysis of literary styles,2002,The American Statistician,1,98,
718,pennebaker2008computerized,"Pennebaker, James W.; Chung, Cindy K.; others",Computerized text analysis of Al-Qaeda transcripts,2008,A content analysis reader,2,92,
719,pennings2002towards,"Pennings, Paul; Keman, Hans",Towards a new methodology of estimating party policy positions,2002,Quality and Quantity,1,105,
720,pepinsky2014can,"Pepinsky, Tom; Malesky, Edmund J.; Jensen, Nathan; Findley, Mike",Can greater transparency lead to better social science?,2014,The Washington Post,1,2,
721,pepinsky2015trade,"Pepinsky, Thomas B.",Trade Competition and American Decolonization,2015,World Politics,1,3,
722,peters2015open,"Peters, Margaret E.","Open trade, clOsed bOrders Immigration in the era of Globalization",2015,World Politics,1,41,
723,piazza1989analysis,"Piazza, Thomas; Sniderman, Paul M.; Tetlock, Philip E.",Analysis of the dynamics of political reasoning: A general-purpose computer-assisted methodology,1989,Political analysis,1,44,
724,pierson2017large,"Pierson, Emma; Simoiu, Camelia; Overgoor, Jan; Corbett-Davies, Sam; Ramachandran, Vignesh; Phillips, Cheryl; Goel, Sharad",A large-scale analysis of racial disparities in police stops across the United States,2017,arXiv preprint arXiv:1706.05678,1,3,
725,piper2016cultural,"Piper, Andrew; Portelance, Eva","How Cultural Capital Works: Prizewinning Novels, Bestsellers, and the Time of Reading",2016,Post45 Contemporaries,1,2,
726,polgreen2008using,"Polgreen, Philip M.; Chen, Yiling; Pennock, David M.; Nelson, Forrest D.; Weinstein, Robert A.",Using internet searches for influenza surveillance,2008,Clinical infectious diseases,1,466,
727,politi2009one,"Politi, Panagiota",One-sided laughter in academic presentations: a small-scale investigation,2009,Discourse Studies,1,6,
728,pollock2015essentials,"Pollock III, Philip H.",The essentials of political analysis,2015,,1,119,
729,ponte1998language,"Ponte, Jay M.; Croft, W.  Bruce",A language modeling approach to information retrieval,1998,,1,3096,
730,poole1991patterns,"Poole, Keith T.; Rosenthal, Howard",Patterns of congressional voting,1991,American journal of political science,1,831,
731,poole1997congress,"Poole, Keith T.; Rosenthal, Howard",Congress: A political-economic history of roll call voting,1997,,3,3362,1
732,poole1998recovering,"Poole, Keith T.",Recovering a basic space from a set of issue scales,1998,American Journal of Political Science,1,507,
733,poole1999nominate,"Poole, Keith",Nominate: A short intellectual history,1999,,1,19,
734,poole2005spatial,"Poole, Keith T.",Spatial models of parliamentary voting,2005,,1,644,
735,popping2009coding,"Popping, Roel; Roberts, Carl W.",Coding issues in modality analysis,2009,Field Methods,1,16,
736,popping2010ag09,"Popping, Roel",Ag09: a computer program for interrater agreement for judgments,2010,Social Science Computer Review,1,12,
737,popping2013leader,"Popping, Roel",What about the leader? What should the Hungarian Prime Minister do after he lied?,2013,Quality \& Quantity,1,1,
738,porter1980algorithm,"Porter, Martin F.",An algorithm for suffix stripping,1980,Program,2,9931,
739,porter2001snowball,"Porter, Martin F.",Snowball: A language for stemming algorithms,2001,,3,473,2
740,prasad2014reflections,"Prasad, Rashmi; Webber, Bonnie; Joshi, Aravind","Reflections on the penn discourse treebank, comparable corpora, and complementary annotation",2014,Computational Linguistics,1,42,
741,preis2013quantifying,"Preis, Tobias; Moat, Helen Susannah; Bishop, Steven R.; Treleaven, Philip; Stanley, H.  Eugene",Quantifying the digital traces of Hurricane Sandy on Flickr,2013,Scientific reports,1,50,
742,prior2003using,"Prior, Lindsay",Using documents in social research,2003,,1,994,
743,procter2013reading,"Procter, Rob; Vis, Farida; Voss, Alex",Reading the riots on Twitter: methodological innovation for the analysis of big data,2013,International journal of social research methodology,1,156,
744,proksch2009avoid,"Proksch, Sven-Oliver; Slapin, Jonathan B.",How to avoid pitfalls in statistical analysis of political texts: The case of Germany,2009,German Politics,1,98,
745,proksch2010position,"Proksch, Sven-Oliver; Slapin, Jonathan B.",Position taking in European Parliament speeches,2010,British Journal of Political Science,4,181,6
746,proksch2012institutional,"Proksch, Sven-Oliver; Slapin, Jonathan B.",Institutional foundations of legislative speech,2012,American Journal of Political Science,1,115,
747,proksch2015multilingual,"Proksch, Sven-Oliver; Lowe, Will; Soroka, Stuart",Multilingual Sentiment Analysis: A New Approach to Measuring Conflict in Parliamentary Speeches,2015,,1,1,
748,przeworski1995art,"Przeworski, Adam; Salomon, Frank",The art of writing proposals: Some candid suggestions for applicants to Social Science Research Council competitions,1995,Social Science Research Foundation,1,36,
749,puglisi2011newspaper,"Puglisi, Riccardo; Snyder Jr, James M.",Newspaper coverage of political scandals,2011,The Journal of Politics,1,137,
750,punch2000developing,"Punch, Keith",Developing effective research proposals,2000,,1,1071,
751,pustejovsky2012natural,"Pustejovsky, James; Stubbs, Amber",Natural Language Annotation for Machine Learning: A guide to corpus-building for applications,2012,,1,129,
752,putnam1994making,"Putnam, Robert D.; Leonardi, Robert; Nanetti, Raffaella Y.",Making democracy work: Civic traditions in modern Italy,1994,,1,41656,
753,quinn2004bayesian,"Quinn, Kevin M.",Bayesian factor analysis for mixed ordinal and continuous responses,2004,Political Analysis,1,190,
754,quinn2010analyze,"Quinn, Kevin M.; Monroe, Burt L.; Colaresi, Michael; Crespin, Michael H.; Radev, Dragomir R.",How to analyze political attention with minimal assumptions and costs,2010,American Journal of Political Science,14,368,7
755,rabinowitz1975introduction,"Rabinowitz, George B.",An introduction to nonmetric multidimensional scaling,1975,American Journal of Political Science,1,130,
756,raento2009smartphones,"Raento, Mika; Oulasvirta, Antti; Eagle, Nathan",Smartphones: An emerging tool for social scientists,2009,Sociological methods \& research,1,323,
757,ramos2003using,"Ramos, Juan; others",Using tf-idf to determine word relevance in document queries,2003,,1,608,
758,rasch1980some,"Rasch, Georg",Some Probabilistic Models for Intelligence and Attainment Tests. Chicago: U,1980,,1,22,
759,raschka2015python,"Raschka, Sebastian",Python machine learning,2015,,1,148,
760,ratinov2011local,"Ratinov, Lev; Roth, Dan; Downey, Doug; Anderson, Mike",Local and global algorithms for disambiguation to wikipedia,2011,,1,482,
